pedigree_id1,pedigree_id2,Y,A,Genetic_Covariance
9..9_0.9_0,9..9_0.9_0,0.00203885643086485,0.00203885643086485,0.9458977065548769
9..9_0.9_0,9..9_1.9_0,0.00203885643086485,0.00203885643086485,0.9458977065548769
9..9_0.9_0,9..9_2.9_1,-0.029994900787656164,-0.029994900787656164,-0.21295601317198964
9..9_0.9_0,9..9_3.9_1,0.014650151951481246,0.014650151951481246,-0.06880333857918793
9..9_0.9_0,9..9_4.9_2,-0.02624845032236509,-0.02624845032236509,-0.02810418673016749
9..9_0.9_0,9..9_5.9_2,0.02467086436171043,0.02467086436171043,0.07358574558948353
9..9_0.9_0,9..9_6.9_3,0.01906287443075599,0.01906287443075599,0.0038737809991914213
9..9_0.9_0,9..9_7.9_3,0.018552980657622366,0.018552980657622366,-0.03603890463033066
9..9_0.9_0,9..9_8.9_4,0.1089816687329342,0.1089816687329342,-0.02863817585854462
9..9_0.9_0,9..9_9.9_4,0.03792508001967122,0.03792508001967122,-0.014026995289655094
9..9_0.9_0,9..9_10.9_5,0.025815230229003977,0.025815230229003977,0.002880289384109707
9..9_0.9_0,9..9_11.9_5,-0.038137138222778255,-0.038137138222778255,-0.10397825734973834
9..9_0.9_0,9..9_12.9_6,-0.044373888327083985,-0.044373888327083985,-0.13172881590951815
9..9_0.9_0,9..9_13.9_6,0.03077166067101277,0.03077166067101277,-0.034648086247034464
9..9_0.9_0,9..9_14.9_7,-2.0532757047207382e-05,-2.0532757047207382e-05,-0.11650136526580561
9..9_0.9_0,9..9_15.9_7,-2.0532757047207382e-05,-2.0532757047207382e-05,-0.11650136526580561
9..9_0.9_0,9..9_16.9_8,0.031208665073171417,0.031208665073171417,0.029548753604615226
9..9_0.9_0,9..9_17.9_8,-0.04616244731127296,-0.04616244731127296,-0.07657914991875503
9..9_0.9_0,9..9_18.9_9,0.004188939920060789,0.004188939920060789,0.13058613312887374
9..9_0.9_0,9..9_19.9_9,-0.03901870650949945,-0.03901870650949945,0.09507911592182018
9..9_0.9_0,9..9_20.9_10,-0.10411468735865567,-0.10411468735865567,-0.0072836860009827115
9..9_0.9_0,9..9_21.9_10,-0.10411468735865567,-0.10411468735865567,-0.0072836860009827115
9..9_0.9_0,9..9_22.9_11,-0.0685597420830909,-0.0685597420830909,-0.21400146793010147
9..9_0.9_0,9..9_23.9_11,-0.0023684858231396845,-0.0023684858231396845,-0.08537376220199996
9..9_0.9_0,9..9_24.9_12,-0.04834425655400438,-0.04834425655400438,0.011087624626695975
9..9_0.9_0,9..9_25.9_12,-0.006681487319477302,-0.006681487319477302,-0.05733925150270816
9..9_0.9_0,9..9_26.9_13,0.10574442628248322,0.10574442628248322,-0.19604624040394486
9..9_0.9_0,9..9_27.9_13,-0.007514580734338296,-0.007514580734338296,-0.23898150298246162
9..9_0.9_0,9..9_28.9_14,0.017569000621971347,0.017569000621971347,0.04580272139862699
9..9_0.9_0,9..9_29.9_14,-0.01018639315368072,-0.01018639315368072,0.030315652650663622
9..9_0.9_0,9..9_30.9_15,0.058189222690539916,0.058189222690539916,-0.0876962857869771
9..9_0.9_0,9..9_31.9_15,0.058189222690539916,0.058189222690539916,-0.0876962857869771
9..9_0.9_0,9..9_32.9_16,-0.0337584529068,-0.0337584529068,-0.052045208305251334
9..9_0.9_0,9..9_33.9_16,0.02984163645272667,0.02984163645272667,0.04833417505573126
9..9_0.9_0,9..9_34.9_17,-0.06804086332186413,-0.06804086332186413,-0.040825109073163314
9..9_0.9_0,9..9_35.9_17,-0.06954492539728897,-0.06954492539728897,0.04418728809835648
9..9_0.9_0,9..9_36.9_18,-0.005251969924646282,-0.005251969924646282,0.40587710790763465
9..9_0.9_0,9..9_37.9_18,0.06813384650714632,0.06813384650714632,-0.10360786676190732
9..9_0.9_0,9..9_38.9_19,0.04428500944004954,0.04428500944004954,-0.08604016810505195
9..9_0.9_0,9..9_39.9_19,0.0506304569565813,0.0506304569565813,-0.0405450428676612
9..9_0.9_0,9..9_40.9_20,0.07165611704957883,0.07165611704957883,0.04021722137295163
9..9_0.9_0,9..9_41.9_20,0.07165611704957883,0.07165611704957883,0.04021722137295163
9..9_0.9_0,9..9_42.9_21,-0.04964216232564806,-0.04964216232564806,-0.04113793364010551
9..9_0.9_0,9..9_43.9_21,-0.04964216232564806,-0.04964216232564806,-0.04113793364010551
9..9_0.9_0,9..9_44.9_22,0.03157963250313947,0.03157963250313947,-0.05952211546608889
9..9_0.9_0,9..9_45.9_22,0.020057702910567892,0.020057702910567892,-0.05689000103872112
9..9_0.9_0,9..9_46.9_23,0.006507914516359163,0.006507914516359163,0.04017441590242248
9..9_0.9_0,9..9_47.9_23,0.006507914516359163,0.006507914516359163,0.04017441590242248
9..9_0.9_0,9..9_48.9_24,0.039052809193435484,0.039052809193435484,-0.05986175519495283
9..9_0.9_0,9..9_49.9_24,-0.07954588742473394,-0.07954588742473394,0.02201521140732327
9..9_0.9_0,9..9_50.9_25,-0.08279504972196378,-0.08279504972196378,-0.21133117057332113
9..9_0.9_0,9..9_51.9_25,-0.02057995310184526,-0.02057995310184526,-0.15797337882733464
9..9_0.9_0,9..9_52.9_26,0.039337194731576194,0.039337194731576194,0.012172515798009183
9..9_0.9_0,9..9_53.9_26,-0.01018672453909412,-0.01018672453909412,-0.012980800416870443
9..9_0.9_0,9..9_54.9_27,-0.03921380672183645,-0.03921380672183645,-0.07209914894037903
9..9_0.9_0,9..9_55.9_27,-0.03286835920530468,-0.03286835920530468,-0.026604021437581817
