pedigree_id1,pedigree_id2,Y,A,Genetic_Covariance
3..3_0.3_0,3..3_0.3_0,0.16333189163278033,0.454948450215633,1.0226943578477323
3..3_0.3_0,3..3_1.3_0,0.3993610445895853,0.4258130006377322,-0.07681266009083271
3..3_0.3_0,3..3_2.3_1,-0.22580282383595526,-0.17976417547946089,-0.03123184840714103
3..3_0.3_0,3..3_3.3_1,-0.5430535211492223,-0.6063668578577435,-0.0009162536905008408
3..3_0.3_0,3..3_4.3_2,-0.4316666280535868,-0.7372130588650775,-0.03340679117728816
3..3_0.3_0,3..3_5.3_2,-0.7041921268985993,-1.0243001099877351,0.004295653302452076
3..3_0.3_0,3..3_6.3_3,0.5521746562583562,0.9206597140837962,-0.003305956622880025
3..3_0.3_0,3..3_7.3_3,-0.14910004081544503,-0.11032389696219878,0.01902704302424686
3..3_0.3_0,3..3_8.3_4,0.5318016954137493,0.22530323326539364,-0.031375653898072814
3..3_0.3_0,3..3_9.3_4,0.3567958323487877,0.4923200737889762,-0.04457649297620008
3..3_0.3_0,3..3_10.3_5,0.35816211769615397,1.4068955593283046,0.022046023726898602
3..3_0.3_0,3..3_11.3_5,0.6017796105610537,1.4068955593283046,0.022046023726898602
3..3_0.3_0,3..3_12.3_6,0.2874557651476323,0.2943833177485743,-0.010272054163700275
3..3_0.3_0,3..3_13.3_6,0.02220565742430812,-0.544229489940276,-0.05945361866037977
3..3_0.3_0,3..3_14.3_7,-0.4230177778475668,-0.6225187608318455,-0.04616211540079643
3..3_0.3_0,3..3_15.3_7,-0.009294020150569402,-0.9096058119545033,-0.008459670562319303
3..3_0.3_0,3..3_16.3_8,-0.1773380622855941,0.16455691426257896,-0.020768103610743906
3..3_0.3_0,3..3_17.3_8,0.3127719840854978,0.7929524570864149,0.00646939294091556
3..3_0.3_0,3..3_18.3_9,-0.7739095585836553,-0.565628636279318,-0.022738072063288345
3..3_0.3_0,3..3_19.3_9,-0.2140748423980132,-0.565628636279318,-0.022738072063288345
3..3_0.3_0,3..3_20.3_10,-0.38505213128349697,-0.4850512234294986,-0.03538667887259394
3..3_0.3_0,3..3_21.3_10,-0.4370537134984828,-0.30396582133151107,-0.04637145299150118
3..3_0.3_0,3..3_22.3_11,0.10776959640027228,-0.28125303489177816,-0.01174685089006024
3..3_0.3_0,3..3_23.3_11,-0.643348057963606,-0.28125303489177816,-0.01174685089006024
3..3_0.3_0,3..3_24.3_12,-0.027857134870182838,0.6053431856356702,0.48380416277431215
3..3_0.3_0,3..3_25.3_12,0.6014623853835376,0.20493646362379003,0.03493147064026063
3..3_0.3_0,3..3_26.3_13,0.017603477421268086,0.5561862377471508,-0.012796816630154691
3..3_0.3_0,3..3_27.3_13,0.09070718102021454,0.6708543752861152,-0.05263718208062609
3..3_0.3_0,3..3_28.3_14,-0.4903852680609772,-0.4120216897236284,-0.012294569088170065
3..3_0.3_0,3..3_29.3_14,-0.25658741214857567,-0.4120216897236284,-0.012294569088170065
3..3_0.3_0,3..3_30.3_15,0.12312309642355819,-0.07759491616728464,-0.020039336595979087
3..3_0.3_0,3..3_31.3_15,-0.05028127407335322,-0.07759491616728464,-0.020039336595979087
3..3_0.3_0,3..3_32.3_16,-0.47152400565576463,-0.869453276481547,-0.03672940485402895
3..3_0.3_0,3..3_33.3_16,-0.09751905531204541,-0.2546227839855572,-0.052142234240650044
